PracticeID,Board,Chief Executive Officer,Chief Financial Officer,Chief Operating Officer,Business Executives,Business Process Owners,Strategy Executive Committee,Steering Committee,Project Management Office,Value Management Office,Chief Risk Officer,Chief Information Security Officer,Architecture Board,Enterprice Risk Committee,Head Human Resources,Compliance,Audit,Chief Information Officer,Head Architect,Head Development,Head IT Operations,Head IT Administration,Service Manager,Information Security Manager,Business Continuity Manager,Privacy Officer
BAI04.03,,,,,,R,,,,,,,,,,,,C,,C,A,,R,C,C,
BAI04.04,,,,,,R,,,,,,,,,,,,C,,C,A,,R,C,C,
BAI04.05,,,,,I,R,,,,,,,,,,,,I,R,C,A,,R,I,I,
BAI05.01,R,A,C,C,R,C,R,R,,,C,,,,R,C,C,R,C,C,C,C,C,C,,
BAI05.02,,I,I,C,A,C,C,R,R,,,,,,C,C,C,R,,R,C,C,C,C,C,C
BAI05.03,,A,C,C,R,I,R,I,I,,,,I,,I,I,I,R,I,I,I,I,I,I,I,I
BAI05.04,,,,R,A,C,C,R,C,,,,,,R,C,C,R,C,C,C,,C,C,C,C
BAI05.05,,,,C,A,R,,,R,,,,,,,,,R,C,R,R,,R,R,R,R
BAI05.06,,R,R,R,A,R,,,R,,,,,,,,,R,C,R,R,,R,R,R,R
BAI05.07,R,R,R,R,A,R,,,R,,,,,,,,,R,C,R,R,,R,R,R,R
BAI06.01,,,,,A,R,,,C,,C,,,,,C,C,R,C,R,R,C,R,C,,
BAI06.02,,,,,A,I,,,,,C,,,,,C,C,R,I,R,R,,I,C,,
BAI06.03,,,,,C,R,,,C,,,,,,,,,A,,R,R,,R,,,
BAI06.04,,,,,A,R,,,R,,C,,,,,C,C,R,C,R,R,I,I,,,
BAI07.01,,,,,C,R,,A,C,,R,,,,,C,C,R,C,R,C,,R,R,R,C
BAI07.02,,,,,C,R,,A,C,,R,,,,,C,C,R,C,R,C,,R,R,R,C
BAI07.03,,,,,A,R,,R,I,,,,,,,,C,I,,R,R,,I,R,R,C
BAI07.04,,,,,A,R,,R,I,,,,,,,,,I,,R,R,,I,R,R,C
BAI07.05,,,,,A,R,,R,I,,,,,,,,,I,,R,R,,I,R,R,C
BAI07.06,,,,,,R,,A,I,,,,,,,,,I,,R,R,,R,I,I,I
BAI07.07,,,,,,R,,A,I,,,,,,,,,I,,R,R,,R,I,I,I
BAI07.08,,,,,,R,,A,I,,,,,,,C,C,I,,R,R,,R,C,I,I
BAI08.01,,,,,A,R,,,,,,,,,,R,R,R,R,R,R,R,R,R,R,R
BAI08.02,,,,,A,R,,,,,,,,,C,C,C,R,,R,R,,R,,,
BAI08.03,,,,,,C,,,,,,,,,C,I,I,A,,R,R,R,,,,
BAI08.04,,,,,,A,,,,,,,,,,R,R,R,C,C,C,R,C,C,C,C
BAI08.05,,,,,,A,,,,,,,,,,C,C,R,R,R,R,R,R,R,R,R
BAI09.01,,,C,,,C,,,,,,,,,,,,I,C,C,A,R,C,,,
BAI09.02,,,C,,I,C,,,,,,,,,,C,C,,R,R,A,R,C,C,C,
BAI09.03,,,,,,C,,,,,,,,,,,,,C,C,A,R,R,,,
BAI09.04,,,R,,I,C,,,,,,,,,,,,A,R,R,R,R,R,,,
BAI09.05,,,,,I,C,,,,,,,,,,C,R,A,,R,R,R,C,,,
BAI10.01,,,,,,C,,,,,,,,,,,C,C,C,I,A,R,R,,,
BAI10.02,,,,,,,,,,,,,,,,,,,C,R,A,R,R,,,
BAI10.03,,,,,,,,,,,,,,,,,,A,C,R,R,R,C,,,
BAI10.04,,,,,,I,,,,,,,,,,,I,I,C,C,A,R,I,,,
BAI10.05,,,,,,I,,,,,,,,,,,R,,R,R,A,,R,,,
DSS01.01,,,,,,,,,,,,,,,,,,,,,A,,C,C,C,
DSS01.02,,,,,,,,,,,I,,,,,,,A,,,R,,,,,
DSS01.03,,,,I,,C,,,,,I,,,,,,C,I,,C,A,,C,C,,
DSS01.04,,,,,,I,,,,,C,A,,,,C,C,C,I,C,R,,I,R,I,
DSS01.05,,,,,,I,,,,,C,A,,,,C,C,C,I,C,R,,I,R,I,
DSS02.01,,,,,,C,,,,,I,I,,,,,,A,C,R,R,,R,C,C,C
DSS02.02,,,,,,I,,,,,I,I,,,,,,,,,A,,R,,,I
DSS02.03,,,,,,R,,,,,,,,,,,,I,,R,R,,A,,,
DSS02.04,,,,,,R,,,,,I,I,,,,I,I,I,,C,R,,A,C,,
DSS02.05,,,,,,I,,,,,I,I,,,,C,C,I,,R,R,,A,R,,C
DSS02.06,,,,,,I,,,,,I,I,,,,I,I,I,,I,A,,I,R,,I
DSS02.07,,,,,,I,,,,,I,I,,,,I,I,I,,I,A,,R,I,,
DSS03.01,,,,,I,C,,,,,I,I,,,,I,I,R,C,R,R,,A,C,,
DSS03.02,,,,,,,,,,,I,I,,,,,,,C,C,A,,R,R,,
DSS03.03,,,,,,,,,,,,,,,,,,,,,A,,R,R,,
DSS03.04,,,,,I,C,,,,,I,I,,,,C,C,I,C,C,R,,A,,,
DSS03.05,,,,,,C,,,,,,,,,,,,,C,C,R,,A,,,
DSS04.01,,,,A,C,R,,,,,C,,,,,C,C,R,,,R,C,R,,R,
DSS04.02,,,,A,C,R,,,,,I,,,,,C,C,R,R,C,R,,,,R,
DSS04.03,,,,,I,R,,,,,,,,,I,C,C,R,C,C,R,,,,A,
DSS04.04,,,,,I,R,,,,,,,,,I,,R,R,,C,R,,,,A,
DSS04.05,,,,A,I,R,,,,,I,,,,,,,R,,C,R,,,,R,
DSS04.06,,,,,I,R,,,,,,,,,,,,R,,R,R,R,,,A,
DSS04.07,,,,,,,,,,,,,,,,,,,,C,A,,,,R,
DSS04.08,,,,,C,R,,,,,I,,,,,,,R,C,C,R,R,,,A,
DSS05.01,,,,,,R,I,,,,C,A,,,R,C,C,C,I,R,R,,I,R,,
